game,crc,name
1,0x94C225E4,"TerrainBallImage"
1,0x6EBBA86E,"TerrainProp_FoliageOverlay"
1,0x42CD93DE,"TerrainProp_FoliageOverlay_Left"
1,0x59C70D50,"TerrainProp_ProceduralOverlay"
1,0xF4C5C36F,"TLB_AddLayer_Icon"
1,0x2E3CFEF7,"TLB_AddMaterial_Icon"
1,0x6D6CDC6A,"TLB_Closed"
1,0xC937EF15,"TLB_Closed_Alpha"
1,0x562FAA65,"TLB_DecoLayer"
1,0x5345DEA7,"TLB_DecoLayer_Icon"
1,0xE95F4C8B,"TLB_DecoLayer_Icon_Alpha"
1,0x9CED3118,"TLB_DecoLayer_Pressed"
1,0x8B629BC5,"TLB_Decoration_Icon"
1,0x9238711D,"TLB_Decoration_Icon_Alpha"
1,0xA53993B7,"TLB_Empty"
1,0x3A57876F,"TLB_Foliage_Icon_Alpha"
1,0xBC11B4D0,"TLB_HeightMap"
1,0x2473BAF1,"TLB_HeightMap_Icon_Alpha"
1,0x00A8A364,"TLB_Layer_Icon_Alpha"
1,0x3540FB53,"TLB_Lock"
1,0xED66B0B5,"TLB_Material_Icon_Alpha"
1,0x6FD724A7,"TLB_Open"
1,0xD908A051,"TLB_Open_Alpha"
1,0xB607DBFC,"TLB_Solid"
1,0x8B7356B9,"TLB_View"
1,0xADC4DBF0,"TLB_Wireframe"
1,0x8B61D2D6,"Tick"
1,0xFA88E7AD,"UnrealEdIcons"
1,0x4E8961E4,"Bad"
1,0x7CE2744B,"BadHighlight"
1,0xDEFE2A50,"Bkgnd"
1,0x9BC04259,"BkgndHi"
1,0xA0C9C42E,"MaterialArrow"
1,0x73F64151,"MaterialBackdrop"
1,0x2F9BAD4C,"T_Base_Tile_DetailNormal"
1,0x4DD87336,"T_Base_Tile_Diffuse"
1,0xD1069BDA,"T_Base_Tile_Emmisive"
1,0x40AD5FB3,"T_Base_Tile_Normal"
1,0x63CAF978,"T_Base_Tile_Reflection"
1,0xFAC6FDDA,"T_Base_Tile_ReflectionMask"
1,0x2A0C548B,"T_Base_Tile_Specular"
1,0x36C15DED,"T_Base_Tile_Variation"
1,0x0CFF859B,"CubemapFace0"
1,0x0CFF859B,"CubemapFace1"
1,0x0CFF859B,"CubemapFace2"
1,0x0CFF859B,"CubemapFace3"
1,0x0CFF859B,"CubemapFace4"
1,0x0CFF859B,"CubemapFace5"
1,0x0CFF859B,"T_Cubemap_01_tex"
1,0xCBA81ED7,"T_DetailNormal"
1,0x9987970A,"T_Diffuse"
1,0x64B92930,"T_Emissive"
1,0xCBA81ED7,"T_Normal"
1,0x9987970A,"T_Reflection"
1,0x9987970A,"T_ReflectionMask"
1,0xBDD51D18,"T_Specular"
1,0x9987970A,"Variation"
1,0x6BF04981,"Texture2D"
1,0xCD6DC163,"Texture2D"
1,0x81CCEFE9,"Texture2D"
1,0x2228E26E,"Texture2D"
1,0x64815ABC,"Texture2D"
1,0x47609334,"CubemapFace0"
1,0x47609334,"CubemapFace1"
1,0x47609334,"CubemapFace2"
1,0x47609334,"CubemapFace3"
1,0x47609334,"CubemapFace4"
1,0x47609334,"CubemapFace5"
1,0x20756B69,"DefaultDiffuse"
1,0x6007D1C6,"DefaultNormal"
1,0x47609334,"DefCube_Face"
1,0x777D8194,"MaterialError"
1,0x83735FD6,"OrientParticle"
1,0x663F0368,"RandomAngles"
1,0x340B51D3,"SoundCue_SpeakerIcon"
1,0xB614F9BA,"TooManyMaterials"
1,0x97B8499F,"UnrealEdIcon_AnimSet"
1,0xD43A6038,"UnrealEdIcon_AnimTree"
1,0x45E810D0,"UnrealEdIcon_CurveEdPresetCurve"
1,0x5296DE8F,"UnrealEdIcon_MorphTargetSet"
1,0x4FE1B958,"UnrealEdIcon_MorphWeightSequence"
1,0xE20DB87F,"UnrealEdIcon_PhysMat"
1,0x27ED70B3,"UnrealEdIcon_PostProcessChain"
1,0x63394A49,"UnrealEdIcon_Prefab"
1,0x14B8C170,"UnrealEdIcon_Sequence"
1,0xFDDF4717,"ActionCamMove"
1,0xB3F0C503,"ActionCamPause"
1,0xB55EC039,"AIScript"
1,0x9557F4B7,"Ambientcreatures"
1,0x9ECABF77,"Ammo"
1,0xFDC945A8,"AnimBlendDirIcon"
1,0x1027B4CF,"AnimBlendFlashIcon"
1,0xBA30E7DE,"AnimBlendIcon"
1,0x31D20949,"AnimBlendListIcon"
1,0x88CC3DA9,"AnimDataIcon"
1,0x6829266F,"AnimPlayerCarat"
1,0x22EB3BDB,"AnimPlayerTrack"
1,0x5278407D,"Backdrop"
1,0x4353B4C7,"Bad"
1,0xB54EC29B,"Basic"
1,0x3D408E7D,"Black"
1,0xA0623FFC,"BlendedMaterialIcon"
1,0x459384B8,"Border"
1,0x79128E11,"BSPVertex"
1,0x5278407D,"Cloudcast"
1,0xF87FA262,"Console"
1,0x1504E394,"Corpse"
1,0x703149C7,"Counter"
1,0x91841EC4,"CoverNodeNone"
1,0x6A2F21C1,"Arrow"
1,0x92C914F8,"SplitterHorz"
1,0x693493AE,"SplitterVert"
1,0xCF406E5D,"DecoPaint"
1,0xF31B1F5F,"DecorationList"
1,0x38115261,"DefaultTexture"
1,0x38115261,"CubemapFace0"
1,0x38115261,"CubemapFace1"
1,0x38115261,"CubemapFace2"
1,0x38115261,"CubemapFace3"
1,0x38115261,"CubemapFace4"
1,0x38115261,"CubemapFace5"
1,0x3EDB7096,"door"
1,0xFE684471,"Flag1"
1,0x5405C5E4,"GRADIENT_Clip"
1,0xF596A844,"GRADIENT_Fade"
1,0xAA2A9BE8,"Gray"
1,0xAA88A2A4,"IntrpPnt"
1,0xA1CF6448,"LargeVertex"
1,0x559F3F1C,"lift_center"
1,0x7EF730CE,"lift_exit"
1,0x219A5ADC,"Light_Directional_Moveable_Dynamics"
1,0x3EAC6CB2,"Light_Directional_Moveable_DynamicsAndStatics"
1,0x6A2EB811,"Light_Directional_Moveable_Statics"
1,0xEE44446A,"Light_Directional_Moveable_UserSelected"
1,0x9B403C6B,"Light_Directional_Stationary_Dynamics"
1,0x84760A05,"Light_Directional_Stationary_DynamicsAndStatics"
1,0xD0F4DEA6,"Light_Directional_Stationary_Statics"
1,0x9EF534E6,"Light_Directional_Stationary_UserSelected"
1,0x06BD4F26,"Light_Directional_Toggleable_Dynamics"
1,0x591E225F,"Light_Directional_Toggleable_DynamicsAndStatics"
1,0x99496A10,"Light_Directional_Toggleable_Statics"
1,0xF70472FD,"Light_Directional_Toggleable_UserSelected"
1,0xB4CEB036,"Light_Point_Moveable_Dynamics"
1,0x0FAF6633,"Light_Point_Moveable_DynamicsAndStatics"
1,0x328685DF,"Light_Point_Moveable_Statics"
1,0xA5FC1666,"Light_Point_Moveable_UserSelected"
1,0x4B6640DC,"Light_Point_Stationary_Dynamics"
1,0xF00796D9,"Light_Point_Stationary_DynamicsAndStatics"
1,0xCD2E7535,"Light_Point_Stationary_Statics"
1,0x5A54E68C,"Light_Point_Stationary_UserSelected"
1,0x0CE42046,"Light_Point_Toggleable_Dynamics"
1,0x8223ED33,"Light_Point_Toggleable_DynamicsAndStatics"
1,0xCCAE0145,"Light_Point_Toggleable_Statics"
1,0x5BD492FC,"Light_Point_Toggleable_UserSelected"
1,0x52C342B9,"Light_SkyLight"
1,0x7ECC31C4,"Light_Spot_Moveable_Dynamics"
1,0xF3F4DD27,"Light_Spot_Moveable_DynamicsAndStatics"
1,0x2070CE45,"Light_Spot_Moveable_Statics"
1,0x3795A8FB,"Light_Spot_Moveable_UserSelected"
1,0xCC82DE78,"Light_Spot_Stationary_Dynamics"
1,0x41BA329B,"Light_Spot_Stationary_DynamicsAndStatics"
1,0x923E21F9,"Light_Spot_Stationary_Statics"
1,0x85DB4747,"Light_Spot_Stationary_UserSelected"
1,0xDF12900B,"Light_Spot_Toggleable_Dynamics"
1,0x2BC6F21A,"Light_Spot_Toggleable_DynamicsAndStatics"
1,0x1302701F,"Light_Spot_Toggleable_Statics"
1,0x4991C518,"Light_Spot_Toggleable_UserSelected"
1,0x52523353,"LockLocation"
1,0x8C04C0BD,"LookTarget"
1,0x69ACC93B,"MaterialEditor_A"
1,0x97E7DA9C,"MaterialEditor_B"
1,0xC815D642,"MaterialEditor_ControlPanelCap"
1,0x99D7F2EF,"MaterialEditor_ControlPanelFill"
1,0x409BE671,"MaterialEditor_Delete"
1,0x941AD3C0,"MaterialEditor_Down"
1,0x66F389F7,"MaterialEditor_G"
1,0x14E8F489,"MaterialEditor_LabelBackground"
1,0x9DD55843,"MaterialEditor_LeftHandle"
1,0x2BDF3C2F,"MaterialEditor_R"
1,0xF11936EE,"MaterialEditor_RGBA"
1,0xE23B37C6,"MaterialEditor_RightHandle"
1,0x363CB93A,"MaterialEditor_RightHandleOn"
1,0x61AD996F,"MaterialEditor_Up"
1,0x7E1B9503,"MaterialTrigger"
1,0xC19487D4,"MatIcon_ChangeScene"
1,0xD4B6CE43,"MatIcon_Fade"
1,0x6B7E506F,"MatIcon_FOV"
1,0x2C21B74C,"MatIcon_FX"
1,0x6223B36E,"MatIcon_GameSpeed"
1,0xDF3D836F,"MatIcon_MoveCamera"
1,0xFA589C64,"MatIcon_Orientation"
1,0x10A12689,"MatIcon_PauseCamera"
1,0x969793AF,"MatIcon_SceneSpeed"
1,0x10651CD6,"MatIcon_Trigger"
1,0x9256508B,"MatInstActSprite"
1,0x0B1F88A7,"PathBezier"
1,0x34D037F0,"PathLinear"
1,0x3BCF6C07,"PathNode"
1,0x2031FC2B,"PrefabSprite"
1,0x916AB269,"Proj_IconMasked"
1,0x4CFB9326,"projtex"
1,0x3D760FB5,"RedSquareTexture"
1,0x41B7F5E9,"S_Actor"
1,0x4087FB51,"S_Alarm"
1,0xF852B633,"S_Ambient"
1,0x353D1C3B,"S_AutoAlignToTerrain"
1,0xF00340A2,"S_BezierHandle"
1,0x540FD28A,"S_Camera"
1,0xD6D04E01,"S_ClipMarker"
1,0x9219261C,"S_ClipMarker1"
1,0xA90EF2E7,"S_ClipMarker2"
1,0x79860661,"S_ClipMarker3"
1,0xB6DF7135,"S_DisplacementTerrain"
1,0x7A18E783,"S_Emitter"
1,0x72CC6B97,"S_FluidSurf"
1,0xD83B6C38,"S_FluidSurfOsc"
1,0x0FED6734,"S_Inventory"
1,0xEE40BBE1,"S_KBSJoint"
1,0x5358A713,"S_Keypoint"
1,0x3B493D0A,"S_KHinge"
1,0xE9DD37D6,"S_KPrismatic"
1,0x96C05B0E,"S_KVehFact"
1,0x259200B0,"S_Ladder"
1,0x66D2E3B3,"S_Light"
1,0x3F52192E,"S_Light_DirectionalLight"
1,0x273937D6,"S_Light_Spotlight"
1,0x292F2348,"S_LineImpulse"
1,0x8F36EA05,"S_MatineeIP"
1,0xFADD36F5,"S_MatineeIPSel"
1,0x0B0A9FBC,"S_MatineeTimeMarker"
1,0x69801FCA,"S_NavP"
1,0x8CC1DEB3,"S_Note"
1,0xFFB488BA,"S_Pawn"
1,0x0858CFFF,"S_Pickup"
1,0x14B9E5B1,"S_Player"
1,0xF0492E6D,"S_PolyMarker"
1,0x4E421F53,"S_RadForce"
1,0x59A25293,"S_RadImpulse"
1,0xF0C0874F,"S_Route"
1,0x52C342B9,"S_SkyLight"
1,0xA9218F71,"S_Teleport"
1,0xAF6B8E2D,"S_Terrain"
1,0xAE4B3C4A,"S_Thruster"
1,0x3D67DFA1,"S_Trigger"
1,0xBE782890,"S_Weapon"
1,0x96DA51D2,"S_WhiteCircle"
1,0x801F1403,"S_ZoneInfo"
1,0x630D67D2,"SceneManager"
1,0x7CDDEB35,"SubActionCameraShake"
1,0x2A7A3584,"SubActionFade"
1,0xCFFBD581,"SubActionFOV"
1,0x899936B5,"SubActionGameSpeed"
1,0xC3529A2D,"SubActionIndicator"
1,0xA6E6DEE2,"SubActionOrientation"
1,0x90064534,"SubActionSceneSpeed"
1,0x3DEB6EC3,"SubActionTrigger"
1,0xD3FA4263,"SwchLite"
1,0xE2AC8DD1,"TexCoordGenIcon"
1,0x8AA03177,"TrigSpcl"
1,0xC08A5C8D,"UnrealEdIcon_Archetype"
1,0x34B9B379,"UnrealEdIcon_Class"
1,0x3489B8C3,"UnrealEdIcon_FaceFXAsset"
1,0x08A72451,"UnrealEdIcon_Font"
1,0x07A3E019,"UnrealEdIcon_PhysAsset"
1,0xD4F8F310,"UnrealEdIcon_Prefab"
1,0xC71D91A5,"UnrealEdIcon_Sound"
1,0x1D1F9788,"UnrealEdIcon_SoundCue"
1,0x21586715,"UnrealEdIcon_StaticMesh"
1,0xD5AE57D1,"UnrealEdIcon_TerrainLayerSetup"
1,0x88C6DFC9,"UnrealEdIcon_TerrainMaterial"
1,0x97AD4F8F,"VolumePath"
1,0xCF406E5D,"White"
1,0xCF406E5D,"WhiteSquareTexture"
1,0x72BA15A9,"WireframeTexture"
1,0xA96C609E,"GameMenu_Preview"
1,0x5D98C3EE,"SSMain_Preview"
1,0x083B3FBB,"SSSimple_Preview"
1,0x2E82D269,"ActionStation"
1,0xC8379DD4,"AISquad"
1,0xF7017DCA,"AISquad_Ambient"
1,0x8B304DCE,"AISquad_Commoner"
1,0xFFBE2BC1,"AISquad_Defender1"
1,0xF526641A,"AISquad_Defender2"
1,0xDC598ADB,"AISquad_Hostile1"
1,0x9F43C333,"AISquad_Hostile2"
1,0xF6E68221,"AISquad_Player"
1,0xCD94043B,"AISquad_QA"
1,0x63EB424E,"BaseSquad"
1,0xBB0D28F5,"Bio_AirAssault"
1,0x4C51C98F,"Bio_AirDefend"
1,0xE86E9E8C,"Bio_WayPoint"
1,0x5195C9AD,"FadeWave"
1,0x6D39FDDD,"Omni_03"
1,0xD0F2013C,"Omni_04"
1,0xDFD80EFA,"Omni_05"
1,0x4562F8D1,"Omni_06"
1,0xA98C7B11,"Omni_07"
1,0xFBDBDA47,"Omni_08"
1,0xF699D470,"FootstepSoundApp"
1,0x282B92B9,"Hopper_Ceiling"
1,0x0E7E7FAE,"Hopper_Ground"
1,0x4DBF9824,"Hopper_Wall"
1,0xA63C2CAA,"Player_Pos_Texture"
1,0x3EDE4C3C,"fx_Fractal_06"
1,0x59AF2B78,"fx_grenflash"
1,0xAADB538C,"IW_gren_diff"
1,0x92C08D77,"IW_gren_norm"
1,0x2703B227,"LookAtTarget"
1,0xFE7CC867,"MissingCreatureClass"
1,0xD795B264,"MissingResource"
1,0x7F9BA29A,"playerSquad"
1,0x676C1652,"s_biostart"
1,0x2D0F9CD6,"Squad_Cover"
1,0x6BED22BC,"Squad_HoldPoint"
1,0xAC7562E0,"UnrealEdIcon_ArtPlaceable"
1,0xDC96BFD2,"UnrealEdIcon_Default"
1,0xC23F7D58,"UnrealEdIcon_DLG"
1,0xDFF2DC39,"UnrealEdIcon_SE"
1,0x2FE32CFF,"UnrealEdIcon_SndSet"
1,0x62039076,"UnrealEdIcon_STG"
1,0xEE9404C2,"UnrealEdIcon_TLK"
1,0xA24CB501,"UnrealEdIcon_TlkSet"
1,0x0A1BA70F,"UnrealEdIcon_VFX"
1,0x7F5AB8A2,"UnrealEdIcon_VIS"
1,0xBBE54DB6,"WaypointRoute"
1,0xD6B795C1,"WP_AirPoint"
1,0x7527B1EB,"WP_Assault"
1,0x34020091,"WP_AssignActions"
1,0x658C308B,"WP_ChangeRt"
1,0x3B9C45C8,"WP_Defend"
1,0x53A60158,"WP_Delay"
1,0xA5FF0795,"WP_Kismet"
1,0x2DA3EDB8,"WP_MapInfo"
1,0x48ACCB3B,"WP_PlayAnim"
1,0xC26CD713,"WP_Sniper"
1,0xC7A74BAF,"ReadonlyKismetBackground"
1,0x6AA92F85,"BioGestRightArrow"
1,0x741304EE,"BioRoboBrad"
1,0x0BBA96AB,"BioRoboBradDisabled"
1,0xC0D4926B,"Loading"
1,0xE38A6A21,"Loading_Black"
1,0x41CFC06A,"UnrealEdIcon_2DA"
1,0x822BE22F,"Dust_Faling_PS_Preview"
1,0xCBE959A6,"Dust_Falling_OffsetTime_Preview"
1,0xD704C2C0,"Fire_Large_Preview"
1,0x766AECAF,"Fire_Medium_Preview"
1,0x1F0FDE53,"Fire_Small_Preview"
1,0x22DAF7AE,"Fire_Wall2Ceiling_Preview"
1,0x110EE2AC,"Fire_WallFire_Preview"
1,0xDF366947,"Fire_XL_Preview"
1,0x53C85A8A,"Insect_FireFlies_Preview"
1,0xEC15176B,"Insect_FireFlies_Dispersed_Preview"
1,0x674AA263,"Rain_Norm_Preview"
1,0x92BB07DE,"Rain_Small_Preview"
1,0x54D16A5A,"sam12_b_diff"
1,0xFBF75883,"sam12_f_diff"
1,0xDA6A379A,"sam12_l_diff"
1,0x19BB1E35,"sam12_r_diff"
1,0xAE12D0D3,"sam12_u_diff"
1,0x1C5491DF,"SkyTexture_JUG00"
1,0x8BDD09F2,"lav60_HorizRain_b"
1,0xB416E3DF,"lav60_HorizRain_f"
1,0xAD2677E0,"lav60_HorizRain_l"
1,0xA6C77A4F,"lav60_HorizRain_r"
1,0xABF1CAA8,"lav60_HorizRain_u"
1,0x82135103,"los10_SKYBOX01"
1,0x34E53E99,"los10_SKYBOX01_emiss"
1,0xA73B9B5E,"PRO00_b_diff"
1,0x407ED0E4,"PRO00_f_diff"
1,0xAEBCA638,"PRO00_l_diff"
1,0x8BFAAF65,"PRO00_r_diff"
1,0x3244926B,"PRO00_u_diff"
1,0x855BD6A0,"pro10_Sky01_diff"
1,0x92F81938,"AfternoonHillcouds_b"
1,0x9145784F,"AfternoonHillcouds_f"
1,0xED188919,"AfternoonHillcouds_l"
1,0x4F79F515,"AfternoonHillcouds_r"
1,0x9F70163E,"AfternoonHillcouds_u"
1,0xE122E532,"CloudyAftern_b"
1,0x52E36C8B,"CloudyAftern_f"
1,0x002BF5E9,"CloudyAftern_l"
1,0x5F529B34,"CloudyAftern_r"
1,0x87B4F2C1,"CloudyAftern_u"
1,0x79C42B0E,"Coldmorning_b"
1,0xEA573BC7,"Coldmorning_f"
1,0x069ABB90,"Coldmorning_l"
1,0x8DAD478E,"Coldmorning_r"
1,0x47AA3CC5,"Coldmorning_u"
1,0xA5133DD3,"fx_CloudLayer"
1,0x9CC18CAD,"hazy_b"
1,0xF28EB569,"hazy_f"
1,0x5D0D3542,"hazy_l"
1,0x74935542,"hazy_r"
1,0xC98D37C8,"hazy_u"
1,0xFA016BBF,"sam05_b_diff"
1,0xE7864A5E,"sam05_f_diff"
1,0x8ED155A2,"sam05_l_diff"
1,0xE3ABF431,"sam05_r_diff"
1,0x0C74FFC2,"sam05_u_diff"
1,0x69FFE43C,"sam06_b_diff"
1,0x4E19BC2D,"sam06_f_diff"
1,0xBBF5ABD2,"sam06_l_diff"
1,0xC84534CD,"sam06_r_diff"
1,0xC7553F19,"sam07_b_diff"
1,0x0787B531,"sam07_f_diff"
1,0x6A36C702,"sam07_l_diff"
1,0xAB7817E9,"sam07_r_diff"
1,0x936F3242,"sam07_u_diff"
1,0x0CE74DD2,"sam08_b_diff"
1,0xC3755B5A,"sam08_f_diff"
1,0x605B00F8,"sam08_l_diff"
1,0xA9EB5562,"sam08_r_diff"
1,0x85DEBA59,"sam08_u_diff"
1,0x89716EEB,"sam09_b_diff"
1,0xB0483D21,"sam09_f_diff"
1,0x5F4F0DAD,"sam09_l_diff"
1,0xB572DEAF,"sam09_r_diff"
1,0x93C5D50F,"sam09_u_diff"
1,0x6AE8DCCD,"sam10_b_diff"
1,0x63BE66C7,"sam10_f_diff"
1,0x7115E6F6,"sam10_l_diff"
1,0xA5B62ED3,"sam10_r_diff"
1,0x3AA7FD3F,"sam10_u_diff"
1,0xE0130737,"sam11_b_diff"
1,0xE8839E14,"sam11_f_diff"
1,0x06E1CD36,"sam11_l_diff"
1,0x12934696,"sam11_r_diff"
1,0x5A36620E,"sam11_u_diff"
1,0x910264E9,"sam12_b_diff"
1,0xAC592594,"sam12_f_diff"
1,0x56EEED85,"sam12_l_diff"
1,0xE16B2CEF,"sam12_r_diff"
1,0xDA84F1A4,"sam12_u_diff"
1,0x4A4C7800,"sam14_b_diff"
1,0x10CDE537,"sam14_f_diff"
1,0xC84F77A1,"sam14_l_diff"
1,0x34AA6B2F,"sam14_r_diff"
1,0x7BEB76A3,"sam14_u_diff"
1,0x0416FFFE,"sam15_b_diff"
1,0xBA5397B0,"sam15_f_diff"
1,0x5C841DA6,"sam15_l_diff"
1,0x81D92BEA,"sam15_r_diff"
1,0x9D928776,"sam15_u_diff"
1,0x228DCD28,"sam16_b_diff"
1,0xD86448C9,"sam16_f_diff"
1,0x3A0FBD08,"sam16_l_diff"
1,0xAB5428F7,"sam16_r_diff"
1,0x128C2C59,"sam16_u_diff"
1,0xD34CCB24,"sam17_b_diff"
1,0x2F76628E,"sam17_f_diff"
1,0x80AD286E,"sam17_l_diff"
1,0xD88BA60A,"sam17_r_diff"
1,0x1F3C47C1,"sam17_u_diff"
1,0x0D2731C9,"sam18_b_diff"
1,0xF953C770,"sam18_f_diff"
1,0x2ABA733B,"sam18_l_diff"
1,0xB8591A5A,"sam18_r_diff"
1,0xA5FA1E92,"sam18_u_diff"
1,0x1C5491DF,"SkyTexture_UNC04"
1,0x1CFE77F9,"UNC01_SkyRed01tga"
1,0x79A27E8D,"UNC_SkyGradient"
1,0xA0E5A0E5,"SKYTEXTURE_WAR00"
1,0x4F7708F5,"SKYTEXTURE_WAR20"
1,0x31A6412C,"SkyTexure_War002"
1,0xE122E532,"war00_b_diff"
1,0x52E36C8B,"war00_f_diff"
1,0x002BF5E9,"war00_l_diff"
1,0x5F529B34,"war00_r_diff"
1,0x87B4F2C1,"war00_u_diff"
1,0x126E8518,"Sun_LensFlare_01_Preview"
1,0xB70E9794,"flare0"
1,0xB0845C4A,"flare1"
1,0x1EB55CA0,"flare2"
1,0xD6227BF6,"flare3"
1,0xC76457A7,"flare4"
1,0xAAFC1A5E,"flare6"
1,0xD9A3F01E,"flare7"
1,0x0442A1F1,"fx_Dot_01_Dup"
1,0x2316D159,"fx_flare04b"
1,0x7F484AFF,"fx_RainDot_Dup"
1,0x69B61977,"ME_Flare_01"
1,0x6E0D37F2,"ME_Flare_01b"
1,0x327DB3A9,"ME_Flare_02"
1,0x10F2BDF8,"ME_Flare_03"
1,0x0FE65C2E,"ME_Flare_03b"
1,0x27327393,"ME_Flare_04"
1,0xCFD72BB0,"ME_Flare_04b"
1,0x2825914F,"ME_Flare_05"
1,0xEFE69247,"ME_Flare_06"
1,0x62EAA1E4,"Ring01_Dup"
1,0x173C21DD,"StretchedFlare_01"
1,0xF9A2D2EE,"StretchedFlare_02"
1,0x8AA9BFCF,"StretchedFlare_03"
1,0xDB19A886,"StretchedFlare_04"
1,0x1393F86D,"StretchedFlare_05"
1,0x68D759F3,"StretchedFlare_06"
1,0xDC48BC0F,"StretchedFlare_07"
1,0x0ED430A5,"dirt_mask_01"
1,0xD9D70DA1,"dirt_mask_02"
1,0x8CA9ACA1,"dirt_mask_03"
1,0xDF06BD83,"dirt_mask_04"
1,0x903C35B1,"fx_Char_Dirt_01"
1,0x349534CB,"AMB_BUG_Vir_Diff_Stack"
1,0x548C83BB,"AMB_BUG_Vir_Norm_Stack"
1,0x0307A53D,"AMB_BUG_Vir_Spec_Stack"
1,0xA53DD44A,"AMB_COW_Bas_Diff_Stack"
1,0x515E8C95,"AMB_COW_Bas_Norm_Stack"
1,0xEC508A94,"AMB_COW_Bas_Spec_Stack"
1,0x113C7F2C,"AMB_GAS_NKDa_Bas_Diff_Stack"
1,0x30B0D43D,"AMB_GAS_NKDa_Bas_Norm_Stack"
1,0xFE5B4B30,"AMB_GAS_NKDa_Bas_Spec_Stack"
1,0xD74C1EA0,"AMB_KEE_NKDa_Bas_Diff_Stack"
1,0x604A9197,"AMB_KEE_NKDa_Bas_Norm_Stack"
1,0x6D40B658,"AMB_KEE_NKDa_Bas_Spec_Stack"
1,0x7324EC93,"AMB_MON_NKDa_Swa_Diff"
1,0xC40BCBDE,"AMB_MON_NKDa_Swa_Eye_Diff"
1,0xED0E4E14,"AMB_MON_NKDa_Swa_Eye_Norm"
1,0x8035073D,"AMB_MON_NKDa_Swa_Norm"
1,0x643D52DA,"AMB_MON_NKDa_Swa_Spec"
1,0xB797BA8F,"AMB_MUS_NKDa_Bas_Diff_Stack"
1,0x43308B11,"AMB_MUS_NKDa_Bas_Norm_Stack"
1,0x6D59EB5E,"CBT_CBG_NKDa_Bas_Diff_Stack"
1,0x4C24A953,"CBT_CBG_NKDa_Bas_Emis_Stack"
1,0xE951720B,"CBT_CBG_NKDa_Bas_Norm_Stack"
